title,original_title,score,genre,date,synopsis,durée,pays_origine
Planet Earth II,,9.5,"Documentary,Back to top",2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,298,"United Kingdom,Germany,France,China,United States"
True Detective,,8.9,"Crime,Drama,Mystery,Back to top",2014–2019,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,United States
The Civil War,,9.1,"Documentary,History,War,Back to top",1990,A comprehensive survey of the American Civil War.,680,United States
Dekalog,,9.0,"Drama,Back to top",1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",572,"Poland,West Germany"
Seinfeld,,8.9,"Comedy,Back to top",1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,United States
Better Call Saul,,8.9,"Crime,Drama,Back to top",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,United States
The Beatles: Get Back,,9.0,"Documentary,Biography,Music,Back to top",2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,"United Kingdom,New Zealand,United States"
Only Fools and Horses,Original title: Only Fools and Horses....,9.0,"Comedy,Back to top",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,United Kingdom
Hunter x Hunter,,9.0,"Animation,Action,Adventure,Back to top",2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24,"Japan,Poland"
Death Note,Original title: Death Note: Desu nôto,9.0,"Animation,Crime,Drama,Back to top",2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,24,Japan
Human Planet,,9.0,"Documentary,Back to top",2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,United Kingdom
Firefly,,9.0,"Adventure,Drama,Sci-Fi,Back to top",2002–2003,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44,United States
Attack on Titan,Original title: Shingeki no Kyojin,9.0,"Animation,Action,Adventure,Back to top",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,Japan
Frozen Planet,,9.0,"Documentary,Back to top",2011–2012,Focuses on life and the environment in both the Arctic and Antarctic.,333,"United Kingdom,United States,Spain,Germany,Greece,Canada"
The Blue Planet,,9.0,"Documentary,Back to top",2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,"United Kingdom,Germany"
The Office,,9.0,"Comedy,Back to top",2005–2013,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",22,United States
John Adams,,8.5,"Biography,Drama,History,Back to top",2008,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",71,United States
X-Men: The Animated Series,Original title: X-Men,8.5,"Animation,Action,Adventure,Back to top",1992–1997,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,23,"United States,Canada"
The Defiant Ones,,8.5,"Documentary,Biography,Crime,Back to top",2017,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",60,United States
Gintama,,8.7,"Animation,Action,Comedy,Back to top",2005–2021,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25,Japan
Black Books,,8.5,"Comedy,Back to top",2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",25,United Kingdom
Derry Girls,,8.5,"Comedy,Back to top",2018–2022,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,30,United Kingdom
Avrupa Yakasi,,8.6,"Comedy,Back to top",2004–2009,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,60,Turkey
Southland,,8.5,"Crime,Drama,Thriller,Back to top",2009–2013,The lives of Police Officers working for the Los Angeles Police Department.,42,United States
The Great British Baking Show,Original title: The Great British Bake Off,8.6,"Reality-TV,Back to top",2010– ,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,60,United Kingdom
Big Little Lies,,8.5,"Crime,Drama,Mystery,Back to top",2017–2019,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,60,United States
The Knick,,8.5,"Drama,History,Back to top",2014–2015,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,58,United States
Wentworth,,8.6,"Crime,Drama,Thriller,Back to top",2013–2021,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,Australia
Your Lie in April,Original title: Shigatsu wa kimi no uso,8.6,"Animation,Comedy,Drama,Back to top",2014–2015,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,Japan
My Brilliant Friend,Original title: L'amica geniale,8.6,"Drama,Back to top",2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,"Italy,United States"
Alfred Hitchcock Presents,,8.5,"Comedy,Crime,Drama,Back to top",1955–1962,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,United States
The Night Of,,8.5,"Crime,Drama,Mystery,Back to top",2016,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",525,United States
The Angry Video Game Nerd,,8.5,"Comedy,Back to top",2004– ,A foul-mouthed nerd reviews bad video games.,35,United States
Chef's Table,,8.5,"Documentary,Back to top",2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50,United States
Generation Kill,,8.5,"Drama,War,Back to top",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",70,"United States,United Kingdom"
The Expanse,,8.5,"Drama,Mystery,Sci-Fi,Back to top",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",60,United States
Mr Inbetween,,8.6,"Crime,Drama,Back to top",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,Australia
Regular Show,,8.5,"Animation,Action,Adventure,Back to top",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23,United States
House of the Dragon,,8.5,"Action,Adventure,Drama,Back to top",2022– ,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",0,"United States,Color"
Community,,8.5,"Comedy,Back to top",2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,United States
